DisasterBeasons_Nc_HatCloud_Hat_CardDescription,"一个云朵一样的帽子！",
DisasterBeasons_Nc_HatCloud_Hat_Green_CardName,"云朵",
DisasterBeasons_Nc_RainBow_RainBowShoes_Empty_CardDescription,"为这片大地留下彩虹的印记..",
DisasterBeasons_Nc_RainBow_RainBowShoes_Empty_CardInteractions[1].ActionName,"修复",
DisasterBeasons_Nc_RainBow_RainBowShoes_Empty_CardName,"莱恩靴（暗淡）",
DisasterBeasons_Nc_GhostShip_BonePile_ProducedBoneMonster_Explosives_CardDescription,"它马上就要爆了！",
DisasterBeasons_Nc_GhostShip_BonePile_ProducedBoneMonster_Explosives_CardName,"炸药",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Attack_CardDescription,"绿色的鬼火的眼前环绕，哭泣的亡灵的眼前尖叫！就在分神的瞬间，一道黑影重击身体。",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Attack_CardName,"亡者呐喊",
DisasterBeasons_Event_PollenSeason_TwistedVineAttack_DismantleActions[0].ActionName,"啊！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_CardDescription,"狂风在耳边呼啸，亡灵的呐喊就在眼前！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_CardName,"对抗！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_DismantleActions[0].ActionName,"长矛攻击！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_DismantleActions[1].ActionName,"弓箭射击！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_DismantleActions[2].ActionName,"枪械攻击！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_DismantleActions[3].ActionName,"投石索投掷！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_DismantleActions[4].ActionName,"撤离",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_DismantleActions[5].ActionDescription,"闪电迸发而出！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_DismantleActions[5].ActionName,"雷鸣",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_Fail_CardDescription,"狂风在耳边呼啸，亡灵的呐喊就在眼前！骷髅倒下，漫飞的骨刺刺入身体。",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_Fail_CardName,"争相抗争！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_Fail_DismantleActions[0].ActionName,"可恶！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_Tiebreaker_CardDescription,"狂风在耳边呼啸，亡灵的呐喊就在眼前。武器重击在骷髅的头部，但一阵绿光过后，其仍完好无损。",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_Tiebreaker_CardName,"奋力抗争",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_Confrontion_Tiebreaker_DismantleActions[0].ActionName,"还不能放弃！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_ExplosivesBoom_CardDescription,"炸药爆炸了！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_ExplosivesBoom_CardName,"巨响",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_ExplosivesBoom_DismantleActions[0].ActionName,"骨片横飞！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_ThunderBoom_CardDescription,"强烈的电流自雷鸣迸射而出！船只刹那间白如极昼！",
DisasterBeasons_Event_GhostShip_BonePile_ProducedBoneMonster_ThunderBoom_CardName,"电流激荡",
